Team Number,Team Name,WLT Ratio,Average OPR,Top OPR,Average RP,Top RP,Average Rank,Top Rank
5237,Loose Screws,4-1-0,82.5,82.5,763.0,763,2.0,2
5383,Neutrinos Breaking the Laws of Physics,4-6-0,50.6,83.9,436.0,590,14.0,3
5663,Twisted Devils Red,3-2-0,60.5,60.5,471.0,471,18.0,18
5957,Sonic Eagles,5-5-0,38.849999999999994,42.8,429.5,461,16.5,13
6294,Atomic Toads,3-7-0,45.7,47.5,321.0,351,13.0,8
7215,Turning Gears,6-4-0,66.45,108.6,543.5,756,12.5,3
7252,Vicious Volts,4-6-0,40.8,51.7,466.0,533,16.0,12
7253,Raging Robots,4-6-0,34.15,68.3,489.0,742,17.0,7
8478,E-Bots,22-6-0,54.06,107.4,598.8,836,3.2,1
8579,Classical Engineers,3-7-0,47.7,50.9,432.5,506,14.5,14
8580,Oakview CyberDragons,4-1-0,93.6,93.6,782.0,782,1.0,1
8845,the wild bees,7-3-0,102.65,123.0,716.5,822,4.5,4
9476,Advanced Skilltronics,9-6-0,77.03333333333333,98.1,578.6666666666666,712,6.666666666666667,4
10016,Clarkston RoboWolves,30-5-0,46.5,146.7,648.3333333333334,971,2.3333333333333335,1
10136,Frost RoboFalcons White,11-4-0,69.56666666666666,102.0,597.3333333333334,757,8.0,6
10644,CyBugs,17-13-0,19.580000000000002,68.9,343.4,646,10.6,8
10645,Hornet Hackers,18-12-0,23.22,79.2,372.0,679,11.6,7
11129,Novi Robotitans,5-0-0,94.5,94.5,529.0,529,5.0,5
11181,Robo-Raptors,2-3-0,9.9,9.9,306.0,306,30.0,30
11231,Cyborg Cats,2-3-0,58.1,58.1,449.0,449,8.0,8
11254,Robo Rhinos,5-5-0,44.45,48.9,427.0,514,16.5,13
11691,Scripps Dragons,4-1-0,75.4,75.4,606.0,606,6.0,6
12740,Robo Next-Gen 12740,7-3-0,35.65,37.0,482.5,568,15.0,13
12862,Waldon Dragons,3-2-0,45.5,45.5,434.0,434,10.0,10
13019,Platinum Panthers 13019,15-15-0,39.339999999999996,83.0,545.8,762,5.6,3
13684,Infinity Tech,4-6-0,33.8,35.2,428.5,441,20.0,10
14353,The N.E.R.D.-bots!,8-2-0,100.15,102.0,681.0,702,3.5,2
14706,Armada Pi-Gears,3-2-0,106.3,106.3,711.0,711,8.0,8
15004,Tech KNOW Logic,19-16-0,40.31666666666667,97.0,508.8333333333333,698,6.166666666666667,3
15256,Techno Knights,13-2-0,40.7,112.5,452.4,778,8.8,2
15486,Mecha Mavs,0-5-0,67.3,67.3,596.0,596,13.0,13
16355,7CREATORS,7-8-0,34.7,75.4,385.3333333333333,644,16.666666666666668,9
16536,M3B,18-12-0,42.02,107.4,584.4,791,2.2,1
16668,4-Gear Clovers,5-0-0,137.1,137.1,790.0,790,1.0,1
17155,Baker Dynamics,2-8-0,39.65,67.7,382.5,477,19.0,16
19920,Creek Robotics,3-2-0,57.1,57.1,400.0,400,12.0,12
